"Header","Date","Location","Category","ImageCount","Status","DriveLink"
"Valentine's Day Card Making","2026-02-08","Pather Saathi","Workshop","0","BLOCKED - no images at all, only Drive folder","https://drive.google.com/drive/folders/1aIgBo8HsZC5YIwXSKhVz7HCv2AGNcj2z"
"Custom T-shirt Stall","2026-03-05","Xaviers University, Kolkata ","Stalls","0","BLOCKED - no images at all, only Drive folder",""
"Food Distribution Drive","2026-03-07","Bhawanipore","Distribution Drive","0","BLOCKED - no images at all, only Drive folder","https://drive.google.com/drive/folders/1GPnE_W3AX4T9WdKGfebYzkQiPBT-tFwn"
"Aq x Vishwajagriti & Emami Collab","2026-03-27","Science City","Distribution Drive","0","BLOCKED - no images at all, only Drive folder","https://drive.google.com/drive/folders/1kkKXNfoRLXnCaHa1zDdgPZThhKPMBM0Y"
"Sentence Secrets: Subjects & Predicates","2026-04-04","Ek Tara ","Workshop","0","BLOCKED - no images at all, only Drive folder","https://drive.google.com/drive/folders/1BB6nCQP0wR4N_Tk0BLLE7DeoYOaA2HDB"
"Build-a-Sentence Lab : Subjects and Predicate ","2026-04-04","Disha Foundation","Workshop","0","BLOCKED - no images at all, only Drive folder","https://drive.google.com/drive/folders/1dA2qtGfyAs-KtR5D3v4hKSSXPV4IbXRB"
"Menstrual Awareness Workshop","2026-04-05","Pather Saathi","Workshop","0","BLOCKED - no images at all, only Drive folder","https://drive.google.com/drive/folders/1pLLGq6XSbfLcmPXbEIptUi0iCVzZqMZy"
"Menstrual Awareness Campaign ","2026-04-06","Pather Sathi","Workshop","0","BLOCKED - no images at all, only Drive folder","https://drive.google.com/drive/folders/1pLLGq6XSbfLcmPXbEIptUi0iCVzZqMZy"
"Learner's Den","2026-04-06","Pather Saathi","Workshop","0","BLOCKED - no images at all, only Drive folder","https://drive.google.com/drive/folders/1eYULrzUiEA3n2_f0Y0XODIN3FPAKvQ9n"
"Smile Notes Campaign","2026-03-25","Bhawanipore","Distribution Drive","1","THIN - only 1 photo, no gallery","https://drive.google.com/drive/folders/1xbNZx2YPfINuPZR7-LhdHrRyRrZgDTh0"
"Smile Notes Campaign","2026-03-26","MBA Chaiwala Lake Town","Distribution Drive","1","THIN - only 1 photo, no gallery","https://drive.google.com/drive/folders/1APvOtKtACQdi06Mat2npvf2rb4abOx8F"
"Teaching Internship","2026-04-18","Ektara Foundation","Workshop","1","THIN - only 1 photo, no gallery","https://drive.google.com/drive/folders/1JRjrY2lvlVgheB-2Xsw5owjpRNAB2-BN"
"Tails and Treats - Feeding Stray Dogs","2026-04-19","Jatindas Park","Feeding dogs","1","THIN - only 1 photo, no gallery","https://drive.google.com/drive/folders/1g5tzrw2w2hr1p0ocdb3er3AYKqL23xzN"
"Teaching English Workshop","2026-04-25","Ektara Foundation","Workshop","1","THIN - only 1 photo, no gallery","https://drive.google.com/drive/folders/1UxiLkzQFOJMWx7vQKnXkb4Avey3eomRa"
"Mother's day card making","2026-05-09","Disha Foundation","Workshop","1","THIN - only 1 photo, no gallery","https://drive.google.com/drive/folders/1nWiXnV37BuyHCAE4C6hQ4r0frBYh5Zj7"
"Smile Notes Campaign","2026-05-10","Lake Town Footbridge","Distribution Workshop","1","THIN - only 1 photo, no gallery","https://drive.google.com/drive/folders/1bA4CVFKDzfcNk71ZgyDCRCfcnKd5996F"
"Smile Notes Campaign","2026-05-15","Bangur","Distribution Drive","1","THIN - only 1 photo, no gallery","https://drive.google.com/drive/folders/18IuHR8UbsRfq3Q0FeaQKkJVWSx591MrC"
"Digital Safety Workshop","2026-05-16","Pather Saathi","Workshop","1","THIN - only 1 photo, no gallery","https://drive.google.com/drive/folders/1xZq2tM6QSN3Y5ZxxfGeV0ddTK3XN20Fj"
"Tails and Treats - Feeding Stray Dogs","2026-06-29","Dobson Lane","Feeding dogs","1","THIN - only 1 photo, no gallery","https://drive.google.com/drive/folders/1yA0ZA4ZlwHggRMvFNoQxgNsyFGPG9dOp"
